1,"BookTitle","The Hidden Words ","隐言经","隱言經"
160,"Invocation","O Son of Man! ","人子啊！","人子啊！"
161,"MainText","My calamity is My providence, outwardly it is fire and vengeance, but inwardly it is light and mercy. Hasten thereunto that thou mayest become an eternal light and an immortal spirit. This is My command unto thee, do thou observe it. ","我降予你的苦难乃是我的眷顾，表面上它是火焰与复仇，实际上它是光明与怜悯。赶赴彼此，以让你能成为永生之荣光与不朽的灵。这乃是我给你的诫命，汝当信守不渝。 ","我降予你的苦難乃是我的眷顧，表面上它是火燄與復仇，實際上它是光明與憐憫。趕赴彼此，以讓你能成為永生之榮光與不朽的靈。這乃是我給你的誡命，汝當信守不渝。 "
162,"PassageNumber",52,52,52
163,"Invocation","O Son of Man! ","人子啊！","人子啊！"
164,"MainText","Should prosperity befall thee, rejoice not, and should abasement come upon thee, grieve not, for both shall pass away and be no more. ","当丰足降临於你时，别高兴，当屈辱逼临时亦别忧愁，因为这些都是转眼即逝的。 ","當豐足降臨於你時，別高興，當屈辱逼臨時亦別憂愁，因為這些都是轉眼即逝的。 "
165,"PassageNumber",53,53,53
166,"Invocation","O Son of Being! ","生命之子啊！","生命之子啊！"
167,"MainText","If poverty overtake thee, be not sad; for in time the Lord of wealth shall visit thee. Fear not abasement, for glory shall one day rest on thee. ","如果穷苦压垮了你，不要悲伤；因为那财富之主即会临幸。不要惧怕屈辱，因为荣耀总有一天会降临於你。 ","如果窮苦壓垮了你，不要悲傷；因為那財富之主即會臨幸。不要懼怕屈辱，因為榮耀總有一天會降臨於你。 "
168,"PassageNumber",54,54,54
169,"Invocation","O Son of Being! ","生命之子啊！","生命之子啊！"
170,"MainText","If thine heart be set upon this eternal, imperishable dominion, and this ancient, everlasting life, forsake this mortal and fleeting sovereignty. ","如果你心安置在这永生不灭之天国，及这亘古长存的生命；你就得舍弃这必朽而飞逝的凡界。 ","如果你心安置在這永生不滅之天國，及這亙古長存的生命；你就得捨棄這必朽而飛逝的凡界。 "
171,"PassageNumber",55,55,55
172,"Invocation","O Son of Being! ","生命之子啊！","生命之子啊！"
173,"MainText","Busy not thyself with this world, for with fire We test the gold, and with gold We test Our servants. ","不要为这尘世而奔忙，因为我们用火试炼黄金，而以黄金试炼我们的仆人。 ","不要為這塵世而奔忙，因為我們用火試煉黃金，而以黃金試煉我們的僕人。 "
174,"PassageNumber",56,56,56
175,"Invocation","O Son of Man! ","人子啊！","人子啊！"
176,"MainText","Thou dost wish for gold and I desire thy freedom from it. Thou thinkest thyself rich in its possession, and I recognize thy wealth in thy sanctity therefrom. By My life! This is My knowledge, and that is thy fancy; how can My way accord with thine? ","你希求黄金，我却希望你割舍它。你以为有了它便是财富，我却认为你的圣洁才是财富。凭着我的生命！这乃是我的真知，而那却是你的幻梦，我的道怎能跟你的一致呢？ ","你希求黃金，我卻希望你割捨它。你以為有了它便是財富，我卻認為你的聖潔才是財富。憑著我的生命！這乃是我的真知，而那卻是你的幻夢，我的道怎能跟你的一致呢？ "
177,"PassageNumber",57,57,57
178,"Invocation","O Son of Man! ","人子啊！","人子啊！"
179,"MainText","Bestow My wealth upon My poor, that in heaven thou mayest draw from stores of unfading splendor and treasures of imperishable glory. But by My life! To offer up thy soul is a more glorious thing couldst thou but see with Mine eye. ","把我的财富济助我的穷人，如此在天国你才能取撷自那永恒荣耀的宝藏及那永不萎谢的荣光宝库。而凭着我的生命！如你能以我的眼来观察，则奉献你的灵魂却是更为荣耀的。 ","把我的財富濟助我的窮人，如此在天國你才能取擷自那永恆榮耀的寶藏及那永不萎謝的榮光寶庫。而憑著我的生命！如你能以我的眼來觀察，則奉獻你的靈魂卻是更為榮耀的。 "
180,"PassageNumber",58,58,58
181,"Invocation","O Son of Man! ","人子啊！","人子啊！"
182,"MainText","The temple of being is My throne; cleanse it of all things, that there I may be established and there I may abide. ","生命的殿堂乃是我的圣座；清洁它，以让我能在它里面建立安居。","生命的殿堂乃是我的聖座；清潔它，以讓我能在它裡面建立安居。"
183,"PassageNumber",59,59,59
184,"Invocation","O Son of Being! ","生命之子啊！","生命之子啊！"
185,"MainText","Thy heart is My home; sanctify it for My descent. Thy spirit is My place of revelation; cleanse it for My manifestation. ","你的心是我居住之地；圣洁之，以待我降临。你的灵是我启示之所；净化之，以待我显圣。 ","你的心是我居住之地；聖潔之，以待我降臨。你的靈是我啟示之所；淨化之，以待我顯聖。 "
186,"PassageNumber",60,60,60
187,"Invocation","O Son of Man! ","人子啊！","人子啊！"
188,"MainText","Put thy hand into My bosom, that I may rise above thee, radiant and resplendent. ","把你的手放在我的胸前，使我能光明而灿烂地在你之上兴起。 ","把你的手放在我的胸前，使我能光明而燦爛地在你之上興起。 "
189,"PassageNumber",61,61,61
190,"Invocation","O Son of Man! ","人子啊！","人子啊！"
191,"MainText","Ascend unto My heaven, that thou mayest obtain the joy of reunion, and from the chalice of imperishable glory quaff the peerless wine. ","升上我的天堂，使你能获得重聚的欣悦，并从永恒荣耀之圣杯里啜饮无尽甘美的醇醴。 ","昇上我的天堂，使你能獲得重聚的欣悅，並從永恆榮耀之聖杯裡啜飲無盡甘美的醇醴。 "
192,"PassageNumber",62,62,62
193,"Invocation","O Son of Man! ","人子啊！","人子啊！"
194,"MainText","Many a day hath passed over thee whilst thou hast busied thyself with thy fancies and idle imaginings. How long art thou to slumber on thy bed? Lift up thy head from slumber, for the Sun hath risen to the zenith, haply it may shine upon thee with the light of beauty. ","当你在梦幻与空想中奔忙时，日子一天天过去，你还要在床上沉睡多久呢？快从打盹中抬起头来，因神圣之太阳已升上顶天，或许它能以圣美之光照耀着你！ ","當你在夢幻與空想中奔忙時，日子一天天過去，你還要在床上沉睡多久呢？快從打盹中抬起頭來，因神聖之太陽已昇上頂天，或許它能以聖美之光照耀著你！ "
195,"PassageNumber",63,63,63
196,"Invocation","O Son of Man! ","人子啊！","人子啊！"
197,"MainText","The light hath shone on thee from the horizon of the sacred Mount and the spirit of enlightenment hath breathed in the Sinai of thy heart. Wherefore, free thyself from the veils of idle fancies and enter into My court, that thou mayest be fit for everlasting life and worthy to meet Me. Thus may death not come upon thee, neither weariness nor trouble. ","由圣山地平线所散射的光芒，已经照耀着你，启示之灵也已在你心的西奈山中呼吸。因此快脱出你空想的帏幕，以进入我的殿堂，使你能适於永生并参见我。愿死亡丶烦厌与忧患都不会降临你。 ","由聖山地平線所散射的光芒，已經照耀著你，啟示之靈也已在你心的西奈山中呼吸。因此快脫出你空想的幃幕，以進入我的殿堂，使你能適於永生並參見我。願死亡、煩厭與憂患都不會降臨你。 "
198,"PassageNumber",64,64,64
199,"Invocation","O Son of Man! ","人子啊！","人子啊！"
200,"MainText","My eternity is My creation, I have created it for thee. Make it the garment of thy temple. My unity is My handiwork; I have wrought it for thee; clothe thyself therewith, that thou mayest be to all eternity the revelation of My everlasting being. ","我的永恒乃是我的创造，而我为你创造了它。用它做你庙堂的袍服吧。我的和谐是我的杰作，我为你造了它；穿戴上它吧，使你能永恒的成为我永存的启示。 ","我的永恆乃是我的創造，而我為你創造了它。用它做你廟堂的袍服吧。我的和諧是我的傑作，我為你造了它；穿戴上它吧，使你能永恆的成為我永存的啟示。 "
201,"PassageNumber",65,65,65
202,"Invocation","O Son of Man! ","人子啊！","人子啊！"
203,"MainText","My majesty is My gift to thee, and My grandeur the token of My mercy unto thee. That which beseemeth Me none shall understand, nor can anyone recount. Verily, I have preserved it in My hidden storehouses and in the treasuries of My command, as a sign of My loving-kindness unto My servants and My mercy unto My people. ","我的威严乃是我给你的天资，而我的尊荣乃是我给你之慈惠的表徵。凡适於我的，无人了解，也无人能够描述。诚然，我已把它存在我隐秘的仓库里，及在我诫命的宝藏里，用它做为我对我仆人的关爱，及我对我子民仁慈的表徵。 ","我的威嚴乃是我給你的天資，而我的尊榮乃是我給你之慈惠的表徵。凡適於我的，無人了解，也無人能夠描述。誠然，我已把它存在我隱秘的倉庫裡，及在我誡命的寶藏裡，用它做為我對我僕人的關愛，及我對我子民仁慈的表徵。 "
204,"PassageNumber",66,66,66
205,"Invocation","O Children of the Divine and Invisible Essence! ","神圣不可见的本体之儿女啊！","神聖不可見的本體之兒女啊！"
206,"MainText","Ye shall be hindered from loving Me and souls shall be perturbed as they make mention of Me. For minds cannot grasp Me nor hearts contain Me. ","你会受到阻挠，不让你来爱我。只要提到我，人们便会惶然骚乱。因为人们的心还不能领悟我，人心也不能容纳我。 ","你會受到阻撓，不讓你來愛我。只要提到我，人們便會惶然騷亂。因為人們的心還不能領悟我，人心也不能容納我。 "
207,"PassageNumber",67,67,67
208,"Invocation","O Son of Beauty! ","圣美之子啊！","聖美之子啊！"
209,"MainText","By My spirit and by My favor! By My mercy and by My beauty! All that I have revealed unto thee with the tongue of power, and have written for thee with the pen of might, hath been in accordance with thy capacity and understanding, not with My state and the melody of My voice. ","凭着我的圣灵及惠泽！凭着我的慈悲与圣美！凡是我以权能之舌宣说於你的，凡是我以崇伟之笔启示给你的，都是依照你的能力及领悟力的，而不是依我的意境及我语音之旋律的。 ","憑著我的聖靈及惠澤！憑著我的慈悲與聖美！凡是我以權能之舌宣說於你的，凡是我以崇偉之筆啟示給你的，都是依照你的能力及領悟力的，而不是依我的意境及我語音之旋律的。 "
210,"PassageNumber",68,68,68
211,"Invocation","O Children of Men! ","人之儿女啊！","人之兒女啊！"
212,"MainText","Know ye not why We created you all from the same dust? That no one should exalt himself over the other. Ponder at all times in your hearts how ye were created. Since We have created you all from one same substance it is incumbent on you to be even as one soul, to walk with the same feet, eat with the same mouth and dwell in the same land, that from your inmost being, by your deeds and actions, the signs of oneness and the essence of detachment may be made manifest. Such is My counsel to you, O concourse of light! Heed ye this counsel that ye may obtain the fruit of holiness from the tree of wondrous glory. ","你们知不知道我为什麽用同样的泥土塑造你们吗？谁都不能自以为比别人更优越。你心里该常多沉思你们是怎样被创造出来的。既然我用同样的质素造生了你们，你们当有如一个灵魂，用同样的脚走路，用同样的嘴吃饭，住在同样的土地上，如此从你的内心深处，从你的举止行为，显现出一体的表徵与超然物外的精神。这就是我给你的训诲，光之众民啊！留意这训言，你便能从奇妙荣光之树上，采撷那神圣之果。 ","你們知不知道我為什麼用同樣的泥土塑造你們嗎？誰都不能自以為比別人更優越。你心裡該常多沉思你們是怎樣被創造出來的。既然我用同樣的質素造生了你們，你們當有如一個靈魂，用同樣的腳走路，用同樣的嘴吃飯，住在同樣的土地上，如此從你的內心深處，從你的舉止行為，顯現出一體的表徵與超然物外的精神。這就是我給你的訓誨，光之眾民啊！留意這訓言，你便能從奇妙榮光之樹上，採擷那神聖之果。 "
213,"PassageNumber",69,69,69
214,"Invocation","O Ye Sons of Spirit! ","灵性之子啊！","靈性之子啊！"
215,"MainText","Ye are My treasury, for in you I have treasured the pearls of My mysteries and the gems of My knowledge. Guard them from the strangers amidst My servants and from the ungodly amongst My people. ","你是我的宝藏，因为我已把秘奥之珠与智慧之宝石珍藏在你里面。护佑它。别让混在我仆人及子民中间的陌生人和不敬神者伤害了它。 ","你是我的寶藏，因為我已把秘奧之珠與智慧之寶石珍藏在你裡面。護佑它。別讓混在我僕人及子民中間的陌生人和不敬神者傷害了它。 "
216,"PassageNumber",70,70,70
217,"Invocation","O Son of Him that Stood by His Own Entity in the Kingdom of His Self! ","藉着祂的本体立於祂的王国者之子啊！","藉著祂的本體立於祂的王國者之子啊！"
218,"MainText","Know thou, that I have wafted unto thee all the fragrances of holiness, have fully revealed to thee My word, have perfected through thee My bounty and have desired for thee that which I have desired for My Self. Be then content with My pleasure and thankful unto Me. ","你们要知道，我已把圣洁的芳馨吹送给你，把我的话语完全的启示给你，经由你成全了我的恩赐，凡我所欲求於我的，我都给了你。满足於我的喜乐，并充满感谢之忱吧。 ","你們要知道，我已把聖潔的芳馨吹送給你，把我的話語完全的啟示給你，經由你成全了我的恩賜，凡我所欲求於我的，我都給了你。滿足於我的喜樂，並充滿感謝之忱吧。 "
219,"PassageNumber",71,71,71
220,"Invocation","O Son of Man! ","人子啊！","人子啊！"
221,"MainText","Write all that We have revealed unto thee with the ink of light upon the tablet of thy spirit. Should this not be in thy power, then make thine ink of the essence of thy heart. If this thou canst not do, then write with that crimson ink that hath been shed in My path. Sweeter indeed is this to Me than all else, that its light may endure forever. ","以荣光为墨，把我所启示於你的写在你灵性之书简上。如此事超过你所能，则用你的心体为墨吧。假如你还办不到，用那曾为我的圣道而流的鲜红墨水去写吧。对我它比什麽都更甜美，而它的光辉将永存。 ","以榮光為墨，把我所啟示於你的寫在你靈性之書簡上。如此事超過你所能，則用你的心體為墨吧。假如你還辦不到，用那曾為我的聖道而流的鮮紅墨水去寫吧。對我它比什麼都更甜美，而它的光輝將永存。 "
222,"SectionText","Part Two: From the Persian","下卷（原着为波斯文，本文译自英文版）","下卷（原著為波斯文，本文譯自英文版）"
223,"Invocation","In the Name of the Lord of Utterance, the Mighty.","奉宣说之主——全能者——之名。","奉宣說之主——全能者——之名。"
224,"PassageNumber",1,1,1
225,"Invocation","O Ye People that Have Minds to Know and Ears to Hear! ","有心有耳能知能听之子啊！","有心有耳能知能聽之子啊！"
226,"MainText","The first call of the Beloved is this: O mystic nightingale! Abide not but in the rose garden of the spirit. O messenger of the Solomon of love! Seek thou no shelter except in the Sheba of the well-beloved, and O immortal phoenix! dwell not save on the mount of faithfulness. Therein is thy habitation, if on the wings of thy soul thou soarest to the realm of the infinite and seekest to attain thy goal. ","一切所钟爱者首要的召唤是这样的：神妙的夜莺啊！除了灵性的玫瑰园，别留连他所。爱的所罗门王之使者啊！除了被钟爱者的示巴女王之外，别另寻蔽荫。永生的凤凰啊！除了忠诚之山，别栖息他处。如果你以灵翼翱翔至无限之境，并寻获你的目标，那里便是你的安居之所了。 ","一切所鐘愛者首要的召喚是這樣的：神妙的夜鶯啊！除了靈性的玫瑰園，別留連他所。愛的所羅門王之使者啊！除了被鐘愛者的示巴女王之外，別另尋蔽蔭。永生的鳳凰啊！除了忠誠之山，別棲息他處。如果你以靈翼翱翔至無限之境，並尋獲你的目標，那裡便是你的安居之所了。 "
227,"PassageNumber",2,2,2
228,"Invocation","O Son of Spirit! ","灵性之子啊！","靈性之子啊！"
229,"MainText","The bird seeketh its nest; the nightingale the charm of the rose; whilst those birds, the hearts of men, content with transient dust, have strayed far from their eternal nest, and with eyes turned towards the slough of heedlessness are bereft of the glory of the divine presence. Alas! How strange and pitiful; for a mere cupful, they have turned away from the billowing seas of the Most High, and remained far from the most effulgent horizon. ","鸟寻它的巢；夜莺觅寻玫瑰的妩媚；而那些鸟正似人们的心，却满足於那刹那的浮尘，迷失远离了久远的巢，且眼光转向怠慢的泥沼，丧失了神圣亲历的荣耀。啊；这多麽可异可怜，只为了一小杯，竟离去那最崇高者的恩波之海，而远隔那光芒照耀的地平线。 ","鳥尋它的巢；夜鶯覓尋玫瑰的嫵媚；而那些鳥正似人們的心，卻滿足於那剎那的浮塵，迷失遠離了久遠的巢，且眼光轉向怠慢的泥沼，喪失了神聖親歷的榮耀。啊；這多麼可異可憐，只為了一小杯，竟離去那最崇高者的恩波之海，而遠隔那光芒照耀的地平線。 "
230,"PassageNumber",3,3,3
231,"Invocation","O Friend! ","朋友啊！","朋友啊！"
232,"MainText","In the garden of thy heart plant naught but the rose of love, and from the nightingale of affection and desire loosen not thy hold. Treasure the companionship of the righteous and eschew all fellowship with the ungodly. ","在你的心园里，除了爱之玫瑰，不要栽种别的。紧握着挚爱与祈望的夜莺，不要放松。珍视正义者的友情，避免与邪恶者的一切交往。 ","在你的心園裡，除了愛之玫瑰，不要栽種別的。緊握著摯愛與祈望的夜鶯，不要放鬆。珍視正義者的友情，避免與邪惡者的一切交往。 "
233,"PassageNumber",4,4,4
234,"Invocation","O Son of Justice! ","公义之子啊！","公義之子啊！"
235,"MainText","Whither can a lover go but to the land of his beloved? and what seeker findeth rest away from his heart’s desire? To the true lover reunion is life, and separation is death. His breast is void of patience and his heart hath no peace. A myriad lives he would forsake to hasten to the abode of his beloved. ","除了他所钟爱者之地，一个恋人能到那里去？除了他寸心所渴望的，一个探求者往那里得到安息？对那真诚的恋人，相聚乃是生命，分离便是死亡。他的胸怀缺乏忍耐，他的心无法安宁。宁舍去万劫千生，也要赶到他所爱者的居所。 ","除了他所鐘愛者之地，一個戀人能到那裡去？除了他寸心所渴望的，一個探求者往那裡得到安息？對那真誠的戀人，相聚乃是生命，分離便是死亡。他的胸懷缺乏忍耐，他的心無法安寧。寧捨去萬劫千生，也要趕到他所愛者的居所。 "
236,"PassageNumber",5,5,5
237,"Invocation","O Son of Dust! ","尘土之子啊！","塵土之子啊！"
238,"MainText","Verily I say unto thee: Of all men the most negligent is he that disputeth idly and seeketh to advance himself over his brother. Say: O brethren! Let deeds, not words, be your adorning. ","我恳挚的告诉你：人类中最轻浮不检的，乃是那空闲的争辩只想胜过自己弟兄的人。啊，弟兄们！以实践为你的华采，不要空谈。 ","我懇摯的告訴你：人類中最輕浮不檢的，乃是那空閒的爭辯只想勝過自己弟兄的人。啊，弟兄們！以實踐為你的華采，不要空談。 "
239,"PassageNumber",6,6,6
240,"Invocation","O Son of Earth! ","大地之子啊！","大地之子啊！"
241,"MainText","Know, verily, the heart wherein the least remnant of envy yet lingers, shall never attain My everlasting dominion, nor inhale the sweet savors of holiness breathing from My kingdom of sanctity. ","该知道，诚然，只要心中尚留有一丝丝嫉妒的残渣，绝无法达到我永生之境。也无法呼吸我神国圣洁空气的芬芳。 ","該知道，誠然，只要心中尚留有一絲絲嫉妒的殘渣，絕無法達到我永生之境。也無法呼吸我神國聖潔空氣的芬芳。 "
242,"PassageNumber",7,7,7
243,"Invocation","O Son of Love! ","爱之子啊！","愛之子啊！"
244,"MainText","Thou art but one step away from the glorious heights above and from the celestial tree of love. Take thou one pace and with the next advance into the immortal realm and enter the pavilion of eternity. Give ear then to that which hath been revealed by the Pen of Glory. ","你离那荣光之界与那爱的神圣之树，不过一步之遥。前进一步吧，迈向那不朽之领域，进入那永生的天幕。聆听那荣耀之笔的启示。 ","你離那榮光之界與那愛的神聖之樹，不過一步之遙。前進一步吧，邁向那不朽之領域，進入那永生的天幕。聆聽那榮耀之筆的啟示。 "
245,"PassageNumber",8,8,8
246,"Invocation","O Son of Glory! ","荣光之子啊！","榮光之子啊！"
247,"MainText","Be swift in the path of holiness, and enter the heaven of communion with Me. Cleanse thy heart with the burnish of the spirit, and hasten to the court of the Most High. ","在神圣之途持以敏捷，以进入与我灵交之天国。以燃烧的精神净洁你的心，并速谒那至高无上之殿堂。 ","在神聖之途持以敏捷，以進入與我靈交之天國。以燃燒的精神淨潔你的心，並速謁那至高無上之殿堂。 "
248,"PassageNumber",9,9,9
249,"Invocation","O Fleeting Shadow! ","倏忽即逝的影子啊！","倏忽即逝的影子啊！"
250,"MainText","Pass beyond the baser stages of doubt and rise to the exalted heights of certainty. Open the eye of truth, that thou mayest behold the veilless Beauty and exclaim: Hallowed be the Lord, the most excellent of all creators! ","超越那犹豫狐疑的尘寰，起而进入那崇高的坚信之境。睁开真理之眼，使你能见到无所障蔽的圣美而欢呼：神圣之主，一切创造者的主啊！ ","超越那猶豫狐疑的塵寰，起而進入那崇高的堅信之境。睜開真理之眼，使你能見到無所障蔽的聖美而歡呼：神聖之主，一切創造者的主啊！ "
251,"PassageNumber",10,10,10
252,"Invocation","O Son of Desire! ","欲念之子啊！","慾念之子啊！"
253,"MainText","Give ear unto this: Never shall mortal eye recognize the everlasting Beauty, nor the lifeless heart delight in aught but in the withered bloom. For like seeketh like, and taketh pleasure in the company of its kind. ","听着：凡俗的眼是无法认知永恒之美的，无生命的心除了取悦枯萎的花之外，别无所用，因为物以类聚，以取得与同类为伍的欢愉。 ","聽著：凡俗的眼是無法認知永恆之美的，無生命的心除了取悅枯萎的花之外，別無所用，因為物以類聚，以取得與同類為伍的歡愉。 "
254,"PassageNumber",11,11,11
255,"Invocation","O Son of Dust! ","尘土之子啊！","塵土之子啊！"
256,"MainText","Blind thine eyes, that thou mayest behold My beauty; stop thine ears, that thou mayest hearken unto the sweet melody of My voice; empty thyself of all learning, that thou mayest partake of My knowledge; and sanctify thyself from riches, that thou mayest obtain a lasting share from the ocean of My eternal wealth. Blind thine eyes, that is, to all save My beauty; stop thine ears to all save My word; empty thyself of all learning save the knowledge of Me; that with a clear vision, a pure heart and an attentive ear thou mayest enter the court of My holiness. ","以你的肉眼为盲，让你能看到我的圣美；以你的肉耳为聋，让你能听到甜蜜和谐的声音；以你一切的学识为空无所有，让你能共享我的智慧；洁净你，远离那尘俗的富贵，让你能永远分享我无穷的财富之洋。除我圣美之外，你的眼无视一切；除我圣言之外，你的耳无听於一切；除对我的认知外，摒弃你一切所学；如此，以清晰的洞察力，一颗纯洁的心与倾听的耳朵，让你得以进入我神圣的殿堂。 ","以你的肉眼為盲，讓你能看到我的聖美；以你的肉耳為聾，讓你能聽到甜蜜和諧的聲音；以你一切的學識為空無所有，讓你能共享我的智慧；潔淨你，遠離那塵俗的富貴，讓你能永遠分享我無窮的財富之洋。除我聖美之外，你的眼無視一切；除我聖言之外，你的耳無聽於一切；除對我的認知外，摒棄你一切所學；如此，以清晰的洞察力，一顆純潔的心與傾聽的耳朵，讓你得以進入我神聖的殿堂。 "
257,"PassageNumber",12,12,12
258,"Invocation","O Man of Two Visions! ","双重视觉的人啊！","雙重視覺的人啊！"
259,"MainText","Close one eye and open the other. Close one to the world and all that is therein, and open the other to the hallowed beauty of the Beloved. ","闭起你一只眼，睁开另一只眼。闭起那观看这个尘世的，睁开那对一切所钟爱者之圣美的。 ","閉起你一隻眼，睜開另一隻眼。閉起那觀看這個塵世的，睜開那對一切所鐘愛者之聖美的。 "
260,"PassageNumber",13,13,13
261,"Invocation","O My Children! ","我的儿女啊！","我的兒女啊！"
262,"MainText","I fear lest, bereft of the melody of the dove of heaven, ye will sink back to the shades of utter loss, and, never having gazed upon the beauty of the rose, return to water and clay. ","我怕没有那圣鸽的旋律，你便会沉沦到完全失败的暗影里，而从没凝视过玫瑰之美，便会回到水和泥土上去。 ","我怕沒有那聖鴿的旋律，你便會沉淪到完全失敗的暗影裡，而從沒凝視過玫瑰之美，便會回到水和泥土上去。 "
263,"PassageNumber",14,14,14
264,"Invocation","O Friends! ","朋友们啊！","朋友們啊！"
265,"MainText","Abandon not the everlasting beauty for a beauty that must die, and set not your affections on this mortal world of dust. ","不要为了必将死亡的美而舍弃永恒之美，不要把你的挚情牵挂在这泡沫浮生的尘世上。 ","不要為了必將死亡的美而捨棄永恆之美，不要把你的摯情牽掛在這泡沫浮生的塵世上。 "
266,"PassageNumber",15,15,15
267,"Invocation","O Son of Spirit! ","灵性之子啊！","靈性之子啊！"
268,"MainText","The time cometh, when the nightingale of holiness will no longer unfold the inner mysteries and ye will all be bereft of the celestial melody and of the voice from on high. ","时候到时，神圣的夜莺将不再展露内蕴的奥秘，而你们将聆听不到那圣曲及高处的妙音。 ","時候到時，神聖的夜鶯將不再展露內蘊的奧秘，而你們將聆聽不到那聖曲及高處的妙音。 "
269,"PassageNumber",16,16,16
270,"Invocation","O Essence of Negligence! ","怠堕之本质啊！","怠墮之本質啊！"
271,"MainText","Myriads of mystic tongues find utterance in one speech, and myriads of hidden mysteries are revealed in a single melody; yet, alas, there is no ear to hear, nor heart to understand. ","无数神妙之舌都讲同样的话语，无数隐藏之奥秘全启示在一支圣曲里；然而，就没有一只耳朵肯听，也没有一颗心肯懂。 ","無數神妙之舌都講同樣的話語，無數隱藏之奧秘全啟示在一支聖曲裡；然而，就沒有一隻耳朵肯聽，也沒有一顆心肯懂。 "
272,"PassageNumber",17,17,17
273,"Invocation","O Comrades! ","伙伴们啊！","伙伴們啊！"
274,"MainText","The gates that open on the Placeless stand wide and the habitation of the loved one is adorned with the lovers’ blood, yet all but a few remain bereft of this celestial city, and even of these few, none but the smallest handful hath been found with a pure heart and sanctified spirit. ","神圣虚无之境的门洞开，被挚爱者的居所用爱者之血涂饰，可是，除了少数人，大多数仍不得进入这圣城。甚至在这少数人里，亦只有极少数几个，有着纯良的心和圣洁的精神。 ","神聖虛無之境的門洞開，被摯愛者的居所用愛者之血塗飾，可是，除了少數人，大多數仍不得進入這聖城。甚至在這少數人裡，亦只有極少數幾個，有著純良的心和聖潔的精神。 "
275,"PassageNumber",18,18,18
276,"Invocation","O Ye Dwellers in the Highest Paradise! ","住在最高乐园的你啊！","住在最高樂園的你啊！"
277,"MainText","Proclaim unto the children of assurance that within the realms of holiness, nigh unto the celestial paradise, a new garden hath appeared, round which circle the denizens of the realm on high and the immortal dwellers of the exalted paradise. Strive, then, that ye may attain that station, that ye may unravel the mysteries of love from its windflowers and learn the secret of divine and consummate wisdom from its eternal fruits. Solaced are the eyes of them that enter and abide therein! ","向圣境坚信的儿女们宣示，邻近天国的乐园，一个心园出现了，天国之民与尊贵乐园的永生居民环绕着它。那麽，努力吧，让你能达到那个境界，而从它的秋牡丹领会爱的奥秘，并从它永恒之果认知神圣与无上智慧的玄秘。那些进入新园而居的人，洋溢在他们眼里的是多麽的宁谧啊！ ","向聖境堅信的兒女們宣示，鄰近天國的樂園，一個心園出現了，天國之民與尊貴樂園的永生居民環繞著它。那麼，努力吧，讓你能達到那個境界，而從它的秋牡丹領會愛的奧秘，並從它永恆之果認知神聖與無上智慧的玄祕。那些進入新園而居的人，洋溢在他們眼裡的是多麼的寧謐啊！ "
278,"PassageNumber",19,19,19
279,"Invocation","O My Friends! ","我的朋友们！","我的朋友們！"
